Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestNewSuite001,,TestNewSuite001,,17-03-2025 15:43:38,17-03-2025 15:43:44,6.583s,FAILED
,,,,,,,
Test Cases/To Test the Keywords,,To Test the Keywords,Keyword,17-03-2025 15:43:43,17-03-2025 15:43:44,1.082s,FAILED
Start listener action : sampleBeforeTestCase3,,,,17-03-2025 15:43:43,17-03-2025 15:43:43,0.006s,ERROR
"openBrowser("""")",,,,17-03-2025 15:43:43,17-03-2025 15:43:44,1.046s,FAILED
Start listener action : sampleAfterTestCase2,,,,17-03-2025 15:43:44,17-03-2025 15:43:44,0.011s,ERROR
